Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,5.953000,6.091000,5.918000,6.040000,6.040000,0
1996-01-08,6.049000,6.180000,6.003000,6.163000,6.163000,0
1996-01-15,6.108000,6.131000,5.945000,5.967000,5.967000,0
1996-01-22,5.982000,6.185000,5.982000,6.040000,6.040000,0
1996-01-29,6.057000,6.146000,6.007000,6.146000,6.146000,0
1996-02-05,6.163000,6.193000,6.039000,6.091000,6.091000,0
1996-02-12,6.091000,6.229000,6.005000,6.222000,6.222000,0
1996-02-19,6.313000,6.440000,6.291000,6.413000,6.413000,0
1996-02-26,6.428000,6.543000,6.371000,6.378000,6.378000,0
1996-03-04,6.361000,6.729000,6.330000,6.729000,6.729000,0
1996-03-11,6.809000,6.809000,6.612000,6.745000,6.745000,0
1996-03-18,6.724000,6.739000,6.447000,6.645000,6.645000,0
1996-03-25,6.630000,6.745000,6.550000,6.679000,6.679000,0
1996-04-01,6.661000,6.679000,6.609000,6.656000,6.656000,0
1996-04-08,6.885000,6.992000,6.793000,6.801000,6.801000,0
1996-04-15,6.793000,6.852000,6.758000,6.788000,6.788000,0
1996-04-22,6.766000,6.860000,6.708000,6.788000,6.788000,0
1996-04-29,6.801000,7.117000,6.801000,7.108000,7.108000,0
1996-05-06,7.103000,7.103000,6.891000,6.921000,6.921000,0
1996-05-13,6.918000,6.932000,6.764000,6.834000,6.834000,0
1996-05-20,6.804000,6.872000,6.786000,6.832000,6.832000,0
1996-05-27,6.815000,7.016000,6.802000,6.991000,6.991000,0
1996-06-03,7.022000,7.107000,6.873000,7.044000,7.044000,0
1996-06-10,7.050000,7.208000,7.036000,7.090000,7.090000,0
1996-06-17,7.090000,7.139000,7.033000,7.096000,7.096000,0
1996-06-24,7.093000,7.104000,6.879000,6.898000,6.898000,0
1996-07-01,6.909000,7.192000,6.898000,7.183000,7.183000,0
1996-07-08,7.221000,7.232000,6.981000,7.009000,7.009000,0
1996-07-15,7.029000,7.100000,6.901000,6.968000,6.968000,0
1996-07-22,6.968000,7.052000,6.913000,7.007000,7.007000,0
1996-07-29,7.038000,7.089000,6.701000,6.733000,6.733000,0
1996-08-05,6.738000,6.807000,6.684000,6.694000,6.694000,0
1996-08-12,6.677000,6.819000,6.668000,6.767000,6.767000,0
1996-08-19,6.762000,6.934000,6.762000,6.921000,6.921000,0
1996-08-26,6.936000,7.133000,6.936000,7.107000,7.107000,0
1996-09-02,7.152000,7.216000,7.049000,7.109000,7.109000,0
1996-09-09,7.086000,7.144000,6.926000,6.944000,6.944000,0
1996-09-16,6.951000,7.062000,6.939000,7.034000,7.034000,0
1996-09-23,7.057000,7.065000,6.836000,6.903000,6.903000,0
1996-09-30,6.886000,6.928000,6.720000,6.734000,6.734000,0
1996-10-07,6.761000,6.893000,6.749000,6.840000,6.840000,0
1996-10-14,6.818000,6.898000,6.754000,6.781000,6.781000,0
1996-10-21,6.786000,6.898000,6.776000,6.811000,6.811000,0
1996-10-28,6.803000,6.838000,6.581000,6.671000,6.671000,0
1996-11-04,6.695000,6.695000,6.472000,6.507000,6.507000,0
1996-11-11,6.483000,6.486000,6.410000,6.450000,6.450000,0
1996-11-18,6.445000,6.474000,6.380000,6.431000,6.431000,0
1996-11-25,6.443000,6.443000,6.352000,6.352000,6.352000,0
1996-12-02,6.368000,6.606000,6.308000,6.511000,6.511000,0
1996-12-09,6.476000,6.649000,6.464000,6.574000,6.574000,0
1996-12-16,6.564000,6.694000,6.554000,6.586000,6.586000,0
1996-12-23,6.593000,6.600000,6.528000,6.533000,6.533000,0
1996-12-30,6.523000,6.756000,6.514000,6.729000,6.729000,0
1997-01-06,6.744000,6.894000,6.731000,6.850000,6.850000,0
1997-01-13,6.827000,6.863000,6.744000,6.822000,6.822000,0
1997-01-20,6.855000,6.915000,6.756000,6.886000,6.886000,0
1997-01-27,6.894000,6.962000,6.781000,6.797000,6.797000,0
1997-02-03,6.781000,6.804000,6.659000,6.706000,6.706000,0
1997-02-10,6.709000,6.731000,6.508000,6.534000,6.534000,0
1997-02-17,6.499000,6.639000,6.499000,6.627000,6.627000,0
1997-02-24,6.644000,6.832000,6.630000,6.787000,6.787000,0
1997-03-03,6.827000,6.939000,6.799000,6.824000,6.824000,0
1997-03-10,6.802000,6.975000,6.802000,6.941000,6.941000,0
1997-03-17,6.957000,7.022000,6.921000,6.951000,6.951000,0
1997-03-24,6.949000,7.085000,6.869000,7.077000,7.077000,0
1997-03-31,7.093000,7.149000,7.058000,7.130000,7.130000,0
1997-04-07,7.103000,7.184000,7.019000,7.165000,7.165000,0
1997-04-14,7.170000,7.176000,7.035000,7.053000,7.053000,0
1997-04-21,7.048000,7.146000,7.032000,7.133000,7.133000,0
1997-04-28,7.141000,7.181000,6.869000,6.897000,6.897000,0
1997-05-05,6.885000,6.985000,6.862000,6.880000,6.880000,0
1997-05-12,6.890000,6.941000,6.849000,6.903000,6.903000,0
1997-05-19,6.895000,6.996000,6.877000,6.980000,6.980000,0
